Job Title,Company Name,Location,Salary
Mechanical Designer (0-3 Years of experience),BBA inc.,"Vancouver, BC",
Mechanical Designer,Stantec,"Vancouver, BC",
Mechanical Designer,VOESTALPINE RAILWAY SYSTEMS NORTRAK LLC,"Richmond, BC",
Senior Mechanical Engineer,Robbox Inc.,"Burnaby, BC",
Mechanical Engineer,Nexii Building Solutions Inc.,"Hybrid remote in Vancouver, BC",
Senior Mechanical Engineer,Reinbold Engineering,"Vancouver, BC",
Mechanical Engineer,Pall Corporation,"Vancouver, BC",
Mechanical / Piping Engineer,Stantec,"Vancouver, BC",
Lead Mechanical Engineer,Mangrove Lithium,"Hybrid remote in Vancouver, BC",
Electrode Development Engineer,Mangrove Lithium,"Vancouver, BC",
Intermediate Mechanical Engineer,Zinc8 Energy Solutions Inc.,"Richmond, BC+1 location",
Mechanical Designer,Morrison Hershfield,"Vancouver, BC",
Mechanical Engineer - Site Services,TRIUMF,"Vancouver, BC",
Mechanical Engineers,Tetra Tech,"Hybrid remote in Vancouver, BC",
Mechanical Engineering - Designer,MCW Group of Companies,"Vancouver, BC",
Mechanical Designer,Envo Drive Systems,"Burnaby, BC",
Remote Handling Targets Mechanical Engineer,TRIUMF,"Remote in Vancouver, BC",
mechanical engineer,OLYMPIC Control Inc.,"North Vancouver, BC",
Energy Engineer - BAS Optimization,Mariner,"Vancouver, BC",
Mechanical Engineer,RAM Consulting,"Vancouver, BC",
Senior Mechanical Engineer,MineSense Technologies,"Vancouver, BC",
Mechanical Design Engineer,ProMach,"Richmond, BC",
Supplier Quality Engineer,Svante,"Burnaby, BC",
Project Engineer Specialist - Transmission Lines & Stations,BC Hydro,"Burnaby, BC",
Electrical Mechanical Engineering Co-op,Advanced Cyclotron Systems Inc,"Richmond, BC",
Mechanical Test Engineer,Svante,"Burnaby, BC",
Mechanical Engineer,Stantec,"Vancouver, BC",
Project Manager,University of British Columbia,"Vancouver, BC",
Mechanical Designer,Voestalpine AG,"Richmond, BC",
Mechanical/ Mechatronics Engineer,Norsat International Inc.,"Richmond, BC",
Mechanical Engineer,Gasmaster,"Richmond, BC",
Junior Engineer/Technologist - Building Science,SR Engineering,"Richmond, BC",
Field Service Engineer /representative,Hitachi Energy,"Richmond, BC",
Senior Mechanical Engineer,BC Rapid Transit Co. Ltd,"Metro Vancouver Regional District, BC",
Lead Mechanical Engineer,Ausenco,"Vancouver, BC",
Senior Mechanical Engineer,AECOM,"Hybrid remote in Vancouver, BC",
"Detail Designer II, Mechanical",Vancouver Shipyards,"Vancouver, BC",
Project Engineer - PE2303,Lauren Services,"Vancouver, BC",
Wastewater Engineer,Associated Engineering Group of Companies,"Vancouver, BC",
Project Engineer - Mechanical,Tree Island Industries,"Richmond, BC",
"Mechanical Engineer, Senior",Wood Plc,"Vancouver, BC",
Mechanical Failure Mode Scientist,Svante,"Burnaby, BC",
Mechanical Engineer,Pall,"Vancouver, BC",
"Mechanical Engineer, Laboratory Automation",AbCellera,"Vancouver, BC",
Project Manager,ECCO Supply,"Burnaby, BC",
Target Production & Operation Engineer,TRIUMF,"Vancouver, BC",
Production Engineer,Chemtrade,"North Vancouver, BC",
Hydropower - Senior Mechanical Engineer,BBA,"Vancouver, BC",
mechanical engineer,C&C Manufacturing Ltd,"Coquitlam, BC",
Mechanical Designer,FPS FOOD PROCESS SOLUTIONS CORP.,"Richmond, BC",
Mechanical Engineer,Wood Plc,"Vancouver, BC",
Senior Manufacturing Process Engineer,Svante,"Burnaby, BC",
Biomedical Algorithms Engineer,Kardium,"Burnaby, BC",
Mechanical Engineer,NORAM Engineering & Constructors Ltd.,"Vancouver, BC",
Project Manager (Mechanical Design),Enersolv Design & Build Ltd,"Burnaby, BC",
Senior Mechanical Engineer,SNC-Lavalin,"Vancouver, BC",
Renewable & Hybrid Power Engineer,Hatch,"Vancouver, BC",
"Controls Engineer, Body Controls",Rivian Automotive,"Vancouver, BC",
Intermediate Mechanical Engineer,SNC-Lavalin,"Burnaby, BC",
Assistant Engineer,FPS FOOD PROCESS SOLUTIONS CORP.,"Richmond, BC",
